"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"lifecycle","lifecycle","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"listenv","listenv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-35.1",NA,"R (>= 3.5.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"lmerTest","lmerTest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"lwgeom","lwgeom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-13",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.9-3)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.8.2",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.11",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.2.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.4.2",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-5",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mapview","mapview","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.11.2",NA,"methods, R (>= 3.6.0)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster (>= 3.6.3), satellite, scales
(>= 0.2.5), servr, sf, sp",NA,"covr, knitr, later, leaflet.extras2, leafsync, lwgeom,
mapdeck, plainview, poorman, rmarkdown, rstudioapi, s2, stars,
tinytest, webshot, webshot2",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"marginaleffects","marginaleffects","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.17.0",NA,"R (>= 3.6.0)","checkmate, data.table, generics, insight (>= 0.19.1), methods,
rlang, Rcpp (>= 1.0.0)","Rcpp, RcppEigen","AER, Amelia, afex, aod, bench, betareg, BH, bife, biglm,
blme, boot, brglm2, brms, brmsmargins, broom, car, carData,
causaldata, collapse, conflicted, covr, crch, DALEXtra,
DCchoice, dbarts, distributional, dplyr, emmeans, equivalence,
estimatr, fixest, fmeffects, fontquiver, future, fwb, gam,
gamlss, gamlss.dist, geepack, ggdag, ggdist, ggokabeito,
ggplot2, ggrepel, glmmTMB, glmx, haven, here, itsadug, ivreg,
kableExtra, knitr, lme4, lmerTest, logistf, magrittr, margins,
MatchIt, MASS, mclogit, MCMCglmm, missRanger, mgcv, mhurdle,
mice, miceadds, mlogit, mlr3verse, modelbased, modelsummary,
nlme, nnet, numDeriv, optmatch, ordinal, parameters, parsnip,
partykit, patchwork, pkgdown, phylolm, plm, polspline, poorman,
posterior, prediction, pscl, purrr, quantreg, Rchoice,
rcmdcheck, remotes, rmarkdown, rms, robust, robustbase,
robustlmm, rsample, rstanarm, rstantools, rsvg,
sampleSelection, sandwich, scam, spelling, speedglm, survey,
survival, svglite, systemfonts, tibble, tidymodels, tidyr,
tidyverse, tinysnapshot, tinytest, titanic, truncreg, tsModel,
withr, workflows, yaml, xgboost, testthat (>= 3.0.0), altdoc",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"margins","margins","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.26",NA,NA,"utils, stats, prediction (>= 0.3.6), data.table, graphics,
grDevices, MASS",NA,"methods, knitr, rmarkdown, testthat, ggplot2, gapminder,
sandwich, stargazer, lme4","AER, betareg, nnet, ordinal, survey","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.12",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-60.0.1","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.1"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"maxLik","maxLik","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5-2",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich, generics",NA,"MASS, clue, dlm, plot3D, tibble, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"MCMCglmm","MCMCglmm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.35",NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom, MCMCpack, bayesm, msm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.6",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"miscTools","miscTools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6-28",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mitools","mitools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"MNLpred","MNLpred","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.8",NA,"R (>= 3.5.0)","MASS, stats",NA,"knitr, rmarkdown, testthat, nnet, magrittr, ggplot2, scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mnormt","mnormt","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"modelsummary","modelsummary","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 4.0.0)","checkmate (>= 2.1.0), data.table, generics, glue, kableExtra
(>= 1.3.4), insight (>= 0.19.6), parameters (>= 0.21.2),
performance (>= 0.10.5), tables (>= 0.9.17)",NA,"AER, Amelia, betareg, bookdown, brms, broom, broom.mixed,
car, clubSandwich, covr, did, digest, DT, estimatr, fixest,
flextable, future, future.apply, gamlss, ggdist, ggplot2, gt
(>= 0.8.0), gtExtras, haven, huxtable, IRdisplay, ivreg, knitr,
lavaan, lfe, lme4, lmtest, magick, marginaleffects, margins,
MASS, mgcv, mice, nlme, nnet, officer, openxlsx, parallel,
pscl, remotes, rmarkdown, rstanarm, rsvg, sandwich, spelling,
survey, survival, tibble, tictoc, tidyselect, tidyverse,
tinysnapshot, tinytest, tinytex, wesanderson",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mstate","mstate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.2",NA,"survival (>= 3.1)","rlang, data.table, lattice, RColorBrewer, viridisLite",NA,"cmprsk, ggplot2, knitr, rmarkdown, relsurv (>= 2.2-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"muhaz","muhaz","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.6.4",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-25",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"mvProbit","mvProbit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-10",NA,"R (>= 2.4.0), mvtnorm (>= 0.9-9994), maxLik (>= 1.0-0), abind
(>= 1.3-0)","bayesm (>= 2.2-4), miscTools (>= 0.6-11)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-4",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-164","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"NLP","NLP","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-1",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.2.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"openNLP","openNLP","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-7",NA,NA,"NLP (>= 0.1-6.3), openNLPdata (>= 1.5.3-1), rJava (>= 0.6-3)",NA,"openNLPmodels.en",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"openNLPdata","openNLPdata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.3-4",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"optiscale","optiscale","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,"lattice",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"packrat","packrat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"padr","padr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.2",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 1.0.0), lubridate, rlang","Rcpp","ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"pagedown","pagedown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.20",NA,"R (>= 3.5.0)","rmarkdown (>= 2.13), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.23), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs, covr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pander","pander","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"pandoc","pandoc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 3.5.0)","fs, rappdirs, rlang (>= 1.0.1)",NA,"covr, gh, rmarkdown (>= 2.14), testthat (>= 3.0.0), tibble,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"parallelly","parallelly","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.36.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"parameters","parameters","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.21.4",NA,"R (>= 3.6)","bayestestR (>= 0.13.1), datawizard (>= 0.9.1), insight (>=
0.19.8), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom, cAIC4,
car, carData, cgam, ClassDiscovery, clubSandwich, cluster,
coda, cplm, dbscan, domir (>= 0.2.0), drc, DRR, effectsize (>=
0.8.6), EGAnet, emmeans (>= 1.7.0), estimatr, factoextra,
FactoMineR, faraway, fastICA, fixest, fpc, gam, gamlss, gee,
geepack, ggeffects (>= 1.3.2), ggplot2, GLMMadaptive, glmmTMB,
GPArotation, gt, haven, httr, Hmisc, ivprobit, ivreg, knitr,
lavaan, lfe, lm.beta, lme4, lmerTest, lmtest, logistf,
logspline, lqmm, M3C, marginaleffects (>= 0.16.0), MASS,
Matrix, mclogit, mclust, MCMCglmm, mediation, merDeriv,
metaBMA, metafor, mfx, mgcv, mice, mmrm, multcomp, MuMIn,
NbClust, nFactors, nestedLogit, nlme, nnet, openxlsx, ordinal,
panelr, pbkrtest, PCDimension, performance (>= 0.10.8), plm,
PMCMRplus, poorman, posterior, PROreg, pscl, psych, pvclust,
quantreg, randomForest, rmarkdown, rms, rstanarm, sandwich, see
(>= 0.8.1), sparsepca, survey, survival, testthat (>= 3.2.1),
tidyselect, tinytable, TMB, truncreg, VGAM, withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"patchwork","patchwork","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"pbapply","pbapply","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"pdftools","pdftools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.4.0",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"peacesciencer","peacesciencer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 3.5.0)","magrittr, dplyr, geosphere, tidyr, stringr, rlang, stevemisc
(>= 1.6.0), lifecycle",NA,"countrycode, tibble, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"performance","performance","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.8",NA,"R (>= 3.6)","bayestestR (>= 0.13.1), insight (>= 0.19.5), datawizard (>=
0.9.0), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dbscan, estimatr, fixest, flextable, forecast, ftExtra,
gamm4, ggplot2, glmmTMB, graphics, Hmisc, httr, ICS,
ICSOutlier, ISLR, ivreg, lavaan, lme4, lmtest, loo, MASS,
Matrix, mclogit, mclust, metadat, metafor, mgcv, mlogit,
multimode, nestedLogit, nlme, nonnest2, ordinal, parallel,
parameters (>= 0.20.3), patchwork, pscl, psych, qqplotr (>=
0.0.6), randomForest, rempsyc, rmarkdown, rstanarm, rstantools,
sandwich, see (>= 0.7.5), survey, survival, testthat, tweedie,
VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"PerformanceAnalytics","PerformanceAnalytics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgdown","pkgdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.4",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, pkgbuild,
rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.10.4",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"plotrix","plotrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.8-4",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"png","png","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
